stop_id,stop_name,stop_lat,stop_lon,stop_url,location_type,parent_station
A66,вул. Сабурова  (101к),50.510246,30.62067,,0,
A676,ст.м. "Мінська" (вис),50.511265,30.496649,,0,
A677,Північ. Кладовище (вис),50.612534,30.784607,,0,
A678,Податкова інспекція,50.440186,30.628347,,0,
A679,бул. Гашека,50.437805,30.630552,,0,
A68,вул.Лебединська,50.519001,30.47735,,0,
A696,парк Позняки,50.401054,30.6355,,0,
A699,вул. Милослав (101к),50.528404,30.620762,,0,
A702,вул. Франка,50.444798,30.506266,,0,
A703,вул. Інститутська,50.449814,30.524014,,0,
A704,вул. Радунська (101к),50.532772,30.599756,,0,
A713,вул. Тальнівська,50.408916,30.618942,,0,
A734,вул. Закревського (100-1),50.50938,30.621349,,0,
A770,Будинок культури,50.428867,30.657829,,0,
A774,м.Нивки(23),50.45863,30.40299,,0,
A782,вул. Байкова,50.415623,30.506901,,0,
A792,Півднний вокз,50.440331,30.48616,,0,
A794,ст.м. Г.Дніпра (вис),50.522026,30.499474,,0,
A795,вул. Дегтяр,50.463902,30.447283,,0,
A796,вул. Чавдар,50.388294,30.626263,,0,
A8,м-в Райдужний,50.49551,30.581646,,0,
A803,Клавдіівська,50.47773,30.341766,,0,
A806,вул. Драгоманова,50.418907,30.634871,,0,
A807,НСК Олімпійський,50.435879,30.520512,,0,
A808,р-к Позняки,50.412708,30.642088,,0,
A809,пр. Перемоги (119),50.4492,30.482853,,0,
A810,вул. Володимирська,50.443901,30.51157,,0,
A836,Ніколоева,50.504124,30.597128,,0,
A840,Видубичі АП,50.401443,30.56144,,0,
A846,школа 320,50.528992,30.6049,,0,
A851,вул. Крайня,50.48703,30.612391,,0,
A852,вул. Стальського (6),50.486099,30.61187,,0,
A853,школа 278 ,50.51685,30.584761,,0,
A854,Шолуденка,50.448971,30.47624,,0,
A871,м. Черн (вис),50.46059,30.62989,,0,
A872,Гіпермаркет,50.49416,30.36533,,0,
A873,вул. Янгеля,50.44957,30.45307,,0,
A875, Копилів,50.423264,29.876356,,0,
A876,Северинівка,50.410423,29.960161,,0,
A877,м.Свят,50.458374,30.38743,,0,
A878,Северинівка пр.,50.406658,29.960333,,0,
A879,Дачне містечко,50.488899,30.678961,,0,
A880,м.Лісова 1,50.46648,30.648102,,0,
A9,ст.м. Петрівка 2,50.4856,30.49968,,0,
B45,Лук'янівський р-к ,50.461739,30.480837,,0,
B479,ТРЕД 2,50.460281,30.44743,,0,
B483,вул. Туполєва ,50.485981,30.3962,,0,
B484,вул. Щусева (23тр),50.47477,30.438288,,0,
B485,м. Дорогожичі (23тр),50.47366,30.446348,,0,
B488,вул. Сош (пр),50.522331,30.44467,,0,
B489,вул. Сошенка,50.521587,30.444687,,0,
B490,Куренівський парк,50.487473,30.470484,,0,
B493,м-н Незалежності,50.451569,30.52183,,0,
B497,м. Лук,50.462486,30.482418,,0,
B501,вул. Щусева,50.474636,30.439167,,0,
B515,вул. Тулузи,50.42984,30.365002,,0,
B516,вул. Якуба Коласа,50.437187,30.385061,,0,
B517,вул. Героїв Космосу,50.439583,30.385759,,0,
B518,м. Святошин,50.457947,30.387945,,0,
B519,м. Нивки,50.459621,30.40583,,0,
B520,м. Шулявська,50.454632,30.445314,,0,
B521,Палац урочистих подій,50.448952,30.479822,,0,
B522,вул. Стеценка,50.480885,30.405811,,0,
B523,пл. В.Марченка,50.482071,30.4058,,0,
B524,вул. Білицька,50.488617,30.42392,,0,
B525,м. Святошин (7тр),50.457745,30.390467,,0,
B526,вул. Чорнобильська,50.459484,30.347387,,0,
B527,Будинок побуту (26тр),50.505081,30.419926,,0,
B528,пр. Свободи,50.514889,30.421507,,0,
B529,м. Нивки (7тр),50.459309,30.402664,,0,
B531,ст. Зеніт,50.488838,30.485331,,0,
B532,вул. Милославська. (30),50.528397,30.620291,,0,
B534,Авторинок,50.484173,30.593216,,0,
B536,Поліклініка (Сабурова),50.511742,30.612984,,0,
B537,Дарницький універмаг,50.442486,30.624794,,0,
B538,ТРЕД 4 (Куренівське),50.491264,30.457369,,0,
B539,вул. Івашкевича,50.50489,30.457077,,0,
B541,вул. Сабурова,50.513569,30.614735,,0,
B543,Дарницька пл,50.44408,30.625935,,0,
B548,м. Почайна (27),50.487339,30.497829,,0,
B549,вул. Щербаківського,50.479839,30.408535,,0,
B550,просп. Перемоги,50.453339,30.357342,,0,
B551,просп. Курбаса,50.424606,30.366983,,0,
B554,м. Дорогожичі,50.473389,30.449099,,0,
B557,м. Мінська,50.512241,30.49641,,0,
B558,вул. Вишгородська (24),50.505871,30.449699,,0,
B559,вул. Івашкевича (24),50.505539,30.451544,,0,
B560,вул. Північна,50.527851,30.516401,,0,
B562,Оболонський просп.,50.522549,30.501156,,0,
B563,Поліклініка (44),50.499775,30.504253,,0,
B564,вул. О. Архипенка,50.495949,30.509727,,0,
B565,просп. Бандери,50.490593,30.52426,,0,
B566,м. Лісова,50.466118,30.645493,,0,
B567,вул. Братиславська,50.478596,30.617512,,0,
B568,Кінотеатр Флоренція,50.505032,30.601053,,0,
B569,вул. Милославська (37),50.531273,30.598923,,0,
B570,Райдужний,50.495476,30.581375,,0,
B571,м. Дарниця,50.456234,30.610933,,0,
B572,вул. Приозерна,50.494354,30.520407,,0,
B573,м. Почайна (25),50.488178,30.498249,,0,
B574,вул. Смілянська,50.421261,30.4561,,0,
B578,Кадетський гай,50.414009,30.463818,,0,
B584,вул. Жилянська,50.434334,30.513409,,0,
B585,вул. Смілянська 1,50.42075,30.456841,,0,
B586,пл. Толстого,50.439541,30.516493,,0,
B590,Аеропорт,50.411125,30.437675,,0,
B591,ДБК-3,50.416317,30.424067,,0,
B592,пл. Космонавтів,50.431274,30.456352,,0,
B593,вул. Ольжича,50.48003,30.445141,,0,
B595,вул. Жилянська 1,50.434879,30.51442,,0,
B596,Солом пл. (40),50.430931,30.471945,,0,
B597,ТРЕД № 3,50.41309,30.454599,,0,
B600,вул. Курська,50.434155,30.470905,,0,
B601,вул. Фучика,50.437664,30.475666,,0,
B602,Повітрофл  ш/пр,50.448303,30.48415,,0,
B603,м. Університет,50.444347,30.506195,,0,
B616,вул. Борщагівська,50.443451,30.442411,,0,
B618,Кирилівська церква,50.485298,30.471205,,0,
B619,вул. Дегтярівська,50.462589,30.447138,,0,
B623,м. Палац спорту,50.438179,30.520769,,0,
B624,Залізничний масив,50.425858,30.491167,,0,
B632,вул.Паньківська,50.439163,30.502407,,0,
B633,вул.Толстого,50.43985,30.498077,,0,
B634,пл. Кривоноса,50.436939,30.491049,,0,
B635,м. Либідська,50.412922,30.524193,,0,
B636,вул. Маршальська,50.379059,30.53536,,0,
B637,ТРЕД № 1,50.393749,30.473166,,0,
B638,к-р Салют,50.40078,30.528811,,0,
B639,м. Видубичі,50.402824,30.558054,,0,
B640,Залізничне шосе,50.404232,30.552008,,0,
B642,Печерський міст,50.420193,30.547012,,0,
B643,пл. Л.Украінки,50.426991,30.539572,,0,
B644,Музей ВВВ,50.432209,30.555691,,0,
B645,Бот сад,50.415257,30.556023,,0,
B646,Залізн вокзал,50.441444,30.491623,,0,
B647,вул. Ш Руставелі,50.439438,30.520281,,0,
B648,Військовий шпиталь ,50.430206,30.535082,,0,
B650,міст Патона,50.423409,30.569141,,0,
B651,вул. В. Брожка,50.408192,30.49287,,0,
B652,вул. Вузівська,50.423767,30.463884,,0,
B653,Повітр.пр.,50.426109,30.45912,,0,
B654,Кібцентр,50.361874,30.446125,,0,
B656,Голосіівський парк,50.390793,30.501816,,0,
B657,Музей архітектури,50.35083,30.496416,,0,
B658,вул. Смолича,50.382313,30.452757,,0,
B661,Одеська пл.,50.37014,30.458849,,0,
B663,м. Васильківська,50.393234,30.487986,,0,
B668,Поліклініка(37А),50.52253,30.62628,,0,
